time,r,g,b,shutter,gain
2020-07-30T12:08:46Z,177,169,178,293,2.0
2020-07-30T12:18:51Z,168,158,169,255,2.08203125
2020-07-30T12:28:55Z,171,162,173,425,1.03515625
2020-07-30T12:39:00Z,197,189,198,577,1.0
2020-07-30T12:49:06Z,175,167,177,236,2.1171875
2020-07-30T12:59:10Z,195,188,197,425,1.03515625
2020-07-30T13:09:15Z,172,163,173,482,1.01953125
2020-07-30T13:19:19Z,184,175,187,501,1.03515625
2020-07-30T13:29:24Z,168,160,172,406,1.0390625
2020-07-30T13:39:29Z,190,181,190,463,1.01953125
2020-07-30T13:49:34Z,176,168,177,236,2.03515625
2020-07-30T13:59:39Z,198,191,200,331,1.046875
2020-07-30T14:09:43Z,192,184,193,331,1.046875
2020-07-30T14:19:48Z,170,161,172,331,1.046875
2020-07-30T14:29:53Z,198,190,198,312,1.03125
2020-07-30T14:39:57Z,186,177,186,312,1.01171875
2020-07-30T14:50:02Z,179,171,181,331,1.01953125
2020-07-30T15:00:07Z,169,161,171,350,1.0234375
2020-07-30T15:10:12Z,193,185,195,425,1.01953125
2020-07-30T15:20:16Z,190,181,191,482,1.0
2020-07-30T15:30:21Z,172,163,173,539,1.0
2020-07-30T15:40:26Z,170,162,172,652,1.0
2020-07-30T15:50:30Z,187,179,189,766,1.0
2020-07-30T16:00:35Z,172,165,176,520,1.02734375
2020-07-30T16:10:40Z,162,154,165,293,1.01953125
2020-07-30T16:20:45Z,172,163,172,350,1.0234375
2020-07-30T16:30:49Z,195,187,195,425,1.01953125
2020-07-30T16:40:54Z,198,188,192,312,1.05078125
2020-07-30T16:51:00Z,137,128,136,66,2.19140625
2020-07-30T17:01:05Z,201,192,198,198,1.0
2020-07-30T17:11:10Z,194,184,188,236,1.0234375
2020-07-30T17:21:14Z,173,163,172,350,1.0234375
2020-07-30T17:31:20Z,177,167,172,104,2.01953125
2020-07-30T17:41:24Z,165,166,196,236,1.05078125
2020-07-30T17:51:29Z,157,159,190,274,1.0234375
2020-07-30T18:01:34Z,146,146,185,312,1.0
2020-07-30T18:11:39Z,133,144,186,444,1.01953125
2020-07-30T18:21:43Z,136,144,186,463,1.0
2020-07-30T18:31:48Z,134,144,186,482,1.01953125
2020-07-30T18:41:53Z,136,147,189,558,1.0
2020-07-30T18:51:58Z,140,147,186,539,1.0
2020-07-30T19:02:03Z,158,157,193,539,1.0
2020-07-30T19:12:08Z,156,157,187,501,1.01171875
2020-07-30T19:22:13Z,131,142,182,558,1.01953125
2020-07-30T19:32:17Z,182,175,186,482,1.03125
2020-07-30T19:42:22Z,167,157,172,595,1.0
2020-07-30T19:52:27Z,177,167,173,595,1.01953125
2020-07-30T20:02:32Z,173,162,166,671,1.0
2020-07-30T20:12:37Z,184,177,187,879,1.0
2020-07-30T20:22:41Z,181,170,187,1314,1.0
2020-07-30T20:33:15Z,176,174,198,2259,1.0
2020-07-30T20:43:19Z,173,191,231,2656,1.0
2020-07-30T20:53:24Z,144,163,210,2543,1.0
2020-07-30T21:03:29Z,141,163,212,2902,1.0
2020-07-30T21:13:34Z,147,167,213,3091,1.0
2020-07-30T21:23:39Z,145,165,209,5095,1.0
2020-07-30T21:33:44Z,160,182,223,5095,1.0
2020-07-30T21:43:48Z,135,158,207,6323,1.0
2020-07-30T21:53:53Z,140,161,205,7231,1.0
2020-07-30T22:03:57Z,154,174,214,8649,1.0
2020-07-30T22:14:02Z,148,162,195,12959,1.0
2020-07-30T22:24:07Z,150,165,202,21862,1.0
2020-07-30T22:34:11Z,126,147,195,33243,1.10546875
2020-07-30T22:44:16Z,130,157,208,33243,1.0625
2020-07-30T22:54:21Z,123,151,207,33243,2.05078125
2020-07-30T23:04:26Z,70,90,149,33243,2.5859375
2020-07-30T23:14:30Z,43,61,114,33243,2.5859375
2020-07-30T23:24:37Z,28,42,85,33243,5.2265625
2020-07-30T23:34:43Z,19,31,68,33243,5.2265625
2020-07-30T23:44:50Z,14,19,46,30218,9.84765625
2020-07-30T23:54:57Z,6,7,18,28252,9.84765625
2020-07-31T00:05:04Z,4,5,12,28252,9.84765625
2020-07-31T00:15:11Z,2,2,4,28668,9.84765625
2020-07-31T00:25:18Z,2,2,3,28800,9.84765625
2020-07-31T00:35:25Z,2,1,1,28536,9.84765625
2020-07-31T00:45:32Z,1,1,1,28384,9.84765625
2020-07-31T00:55:39Z,1,1,1,28668,9.84765625
2020-07-31T01:05:46Z,1,1,2,29556,9.84765625
2020-07-31T01:15:53Z,1,1,1,28252,9.84765625
2020-07-31T01:26:01Z,1,1,1,29556,9.84765625
2020-07-31T01:36:08Z,1,1,1,29821,9.84765625
2020-07-31T01:46:15Z,1,1,1,29821,9.84765625
2020-07-31T01:56:22Z,1,1,0,28252,9.84765625
2020-07-31T02:06:29Z,1,1,1,27968,9.84765625
2020-07-31T02:16:37Z,1,1,1,29689,9.84765625
2020-07-31T02:26:44Z,1,1,1,29821,9.84765625
2020-07-31T02:36:51Z,1,2,3,28536,9.84765625
2020-07-31T02:46:58Z,2,2,4,28800,9.84765625
2020-07-31T02:57:05Z,3,4,11,28252,9.84765625
2020-07-31T03:07:12Z,3,4,10,28536,9.84765625
2020-07-31T03:17:19Z,3,4,9,29008,9.84765625
2020-07-31T03:27:26Z,9,14,39,29008,9.84765625
2020-07-31T03:37:32Z,14,28,68,33243,5.2265625
2020-07-31T03:47:37Z,22,41,90,33243,2.5859375
2020-07-31T03:57:41Z,53,81,150,33243,2.5859375
2020-07-31T04:07:46Z,105,126,194,33243,2.5859375
2020-07-31T04:17:51Z,120,155,215,33243,1.6875
2020-07-31T04:27:55Z,120,163,219,33243,1.0
2020-07-31T04:38:00Z,162,190,232,23734,1.0
2020-07-31T04:48:05Z,174,192,229,15530,1.0
2020-07-31T04:58:10Z,166,166,193,5473,1.97265625
2020-07-31T05:08:15Z,169,164,188,4376,1.98828125
2020-07-31T05:18:21Z,167,162,186,4168,2.03515625
2020-07-31T05:28:27Z,173,165,186,3431,1.97265625
2020-07-31T05:38:32Z,169,163,186,3072,1.97265625
2020-07-31T05:48:37Z,170,162,183,3053,1.98828125
2020-07-31T05:58:42Z,179,170,181,3771,1.0
2020-07-31T06:08:47Z,188,179,199,3866,1.0
2020-07-31T06:18:51Z,199,189,206,3242,1.0
2020-07-31T06:28:56Z,175,164,179,1314,1.98828125
2020-07-31T06:39:02Z,173,164,176,1219,2.01953125
2020-07-31T06:49:08Z,188,180,191,2183,1.0
2020-07-31T06:59:13Z,187,179,191,2278,1.0
2020-07-31T07:09:17Z,184,173,188,3393,1.0
2020-07-31T07:19:22Z,201,192,206,5095,1.0
2020-07-31T07:29:27Z,173,162,177,3412,1.0
2020-07-31T07:39:31Z,195,188,198,2656,1.0
2020-07-31T07:49:37Z,179,171,180,1276,1.0078125
2020-07-31T07:59:41Z,178,170,180,1219,1.0
2020-07-31T08:09:46Z,185,177,188,1144,1.0
2020-07-31T08:19:50Z,182,174,186,992,1.01171875
2020-07-31T08:29:55Z,197,188,197,595,1.0234375
2020-07-31T08:40:00Z,198,191,199,614,1.0
2020-07-31T08:50:05Z,190,182,193,992,1.01171875
2020-07-31T09:00:10Z,195,188,198,841,1.0
2020-07-31T09:10:14Z,190,181,193,955,1.0
2020-07-31T09:20:20Z,189,180,193,1465,1.0
2020-07-31T09:30:25Z,174,165,178,1011,1.01171875
2020-07-31T09:40:30Z,176,167,178,274,2.0
2020-07-31T09:50:35Z,188,179,189,539,1.0
2020-07-31T10:00:39Z,189,180,191,577,1.01953125
2020-07-31T10:10:44Z,189,181,192,633,1.0
2020-07-31T10:20:50Z,176,167,179,406,2.08203125
2020-07-31T10:30:54Z,200,193,203,841,1.015625
2020-07-31T10:41:00Z,178,169,178,255,2.06640625
2020-07-31T10:51:04Z,199,191,200,501,1.0234375
2020-07-31T11:01:09Z,189,180,191,671,1.0
2020-07-31T11:11:14Z,185,177,188,784,1.0
2020-07-31T11:21:19Z,188,181,192,974,1.0078125
2020-07-31T11:31:24Z,178,170,181,463,2.06640625
2020-07-31T11:41:29Z,177,169,180,369,2.03515625
2020-07-31T11:51:35Z,173,165,176,236,2.03515625
2020-07-31T12:01:41Z,172,163,173,198,2.1171875
2020-07-31T12:11:46Z,195,188,198,406,1.015625
2020-07-31T12:21:50Z,193,185,196,406,1.015625
2020-07-31T12:31:55Z,177,168,179,236,2.05078125
2020-07-31T12:42:00Z,176,168,179,501,1.0
2020-07-31T12:52:04Z,191,182,194,728,1.0
2020-07-31T13:02:09Z,188,179,191,728,1.0
2020-07-31T13:12:14Z,184,176,188,992,1.01171875
2020-07-31T13:22:19Z,183,175,187,766,1.015625
2020-07-31T13:32:23Z,185,176,188,595,1.0
2020-07-31T13:42:28Z,187,178,191,747,1.0
2020-07-31T13:52:33Z,176,168,180,709,1.0
2020-07-31T14:02:37Z,198,192,201,652,1.0234375
2020-07-31T14:12:42Z,188,181,191,1030,1.0
2020-07-31T14:22:47Z,191,182,193,1465,1.0
2020-07-31T14:32:52Z,172,164,176,577,1.98828125
2020-07-31T14:42:57Z,188,179,191,1181,1.0
2020-07-31T14:53:02Z,173,164,177,1163,1.0
2020-07-31T15:03:06Z,170,161,174,1087,1.0
2020-07-31T15:13:11Z,174,165,177,1219,1.0
2020-07-31T15:23:16Z,188,180,191,936,1.0
2020-07-31T15:33:21Z,191,183,194,1030,1.0
2020-07-31T15:43:26Z,199,192,203,1087,1.01171875
2020-07-31T15:53:31Z,184,176,187,728,1.01953125
2020-07-31T16:03:37Z,178,170,182,803,1.015625
2020-07-31T16:13:41Z,189,180,191,917,1.0
2020-07-31T16:23:46Z,190,182,194,1030,1.0
2020-07-31T16:33:51Z,175,166,178,633,2.01953125
2020-07-31T16:43:56Z,181,172,185,936,1.01171875
2020-07-31T16:54:00Z,180,170,184,879,1.0
2020-07-31T17:04:05Z,197,189,200,709,1.0
2020-07-31T17:14:10Z,182,173,185,879,1.0
2020-07-31T17:24:15Z,187,180,191,1900,1.0
2020-07-31T17:34:20Z,190,181,193,3034,1.0
2020-07-31T17:44:25Z,199,191,203,3185,1.0
2020-07-31T17:54:29Z,191,181,195,2826,1.0
2020-07-31T18:04:35Z,177,166,181,1389,1.97265625
2020-07-31T18:14:40Z,201,194,205,2127,1.0
2020-07-31T18:24:45Z,177,166,180,1692,1.0
2020-07-31T18:34:49Z,183,173,187,2372,1.0
2020-07-31T18:44:54Z,183,172,188,3242,1.0
2020-07-31T18:54:58Z,176,165,182,3072,1.0
2020-07-31T19:05:03Z,198,187,202,3318,1.0
2020-07-31T19:15:08Z,199,191,202,2958,1.0
2020-07-31T19:25:13Z,184,175,192,4357,1.0
2020-07-31T19:35:17Z,182,174,190,5416,1.0
2020-07-31T19:45:22Z,198,189,200,5435,1.0
2020-07-31T19:55:27Z,187,181,188,4887,1.0
2020-07-31T20:05:32Z,171,163,174,5246,1.0
2020-07-31T20:15:37Z,170,164,172,4471,1.0
2020-07-31T20:25:41Z,182,176,181,4641,1.0
2020-07-31T20:35:47Z,194,189,196,6153,1.0
2020-07-31T20:45:52Z,200,193,203,9802,1.0
2020-07-31T20:55:57Z,189,182,203,11730,1.0
2020-07-31T21:06:02Z,170,160,179,8705,1.0
2020-07-31T21:16:06Z,171,162,180,6531,1.0
2020-07-31T21:26:11Z,175,164,179,7628,1.0
2020-07-31T21:36:16Z,175,165,179,4962,2.0
2020-07-31T21:46:21Z,185,179,195,14169,1.0
2020-07-31T21:56:26Z,165,160,186,32222,1.0
2020-07-31T22:06:31Z,126,135,174,33243,2.5859375
2020-07-31T22:16:35Z,70,88,142,33243,2.5859375
2020-07-31T22:26:40Z,46,67,118,33243,2.5859375
2020-07-31T22:36:45Z,27,48,94,33243,2.5859375
2020-07-31T22:46:49Z,24,42,85,33243,2.5859375
2020-07-31T22:56:55Z,13,27,63,33243,5.2265625
2020-07-31T23:07:03Z,15,25,60,28536,9.84765625
2020-07-31T23:17:10Z,12,21,53,29140,9.84765625
2020-07-31T23:27:17Z,4,7,21,29008,9.84765625
2020-07-31T23:37:25Z,2,4,11,28384,9.84765625
2020-07-31T23:47:32Z,2,2,6,28951,9.84765625
2020-07-31T23:57:39Z,2,2,6,28951,9.84765625
2020-08-01T00:07:47Z,2,3,7,29084,9.84765625
2020-08-01T00:17:53Z,1,1,3,29953,9.84765625
2020-08-01T00:28:01Z,1,1,3,28536,9.84765625
2020-08-01T00:38:08Z,1,1,2,29556,9.84765625
2020-08-01T00:48:15Z,1,1,1,28252,9.84765625
2020-08-01T00:58:23Z,1,1,1,28668,9.84765625
2020-08-01T01:08:30Z,1,1,0,28951,9.84765625
2020-08-01T01:18:37Z,0,0,0,28536,9.84765625
2020-08-01T01:28:44Z,1,0,0,28668,9.84765625
2020-08-01T01:38:51Z,1,1,0,28800,9.84765625
2020-08-01T01:48:58Z,1,0,0,28668,9.84765625
2020-08-01T01:59:06Z,1,0,0,29556,9.84765625
2020-08-01T02:09:13Z,1,1,0,29424,9.84765625
2020-08-01T02:19:20Z,1,1,1,28536,9.84765625
2020-08-01T02:29:27Z,1,1,1,28668,9.84765625
2020-08-01T02:39:34Z,1,1,2,28536,9.84765625
2020-08-01T02:49:41Z,1,1,3,29556,9.84765625
2020-08-01T02:59:49Z,1,2,4,29424,9.84765625
2020-08-01T03:09:56Z,2,3,10,29556,9.84765625
2020-08-01T03:20:03Z,4,10,30,28536,9.84765625
2020-08-01T03:30:11Z,8,15,42,29821,9.84765625
2020-08-01T03:40:18Z,18,28,66,30218,9.84765625
2020-08-01T03:50:24Z,31,44,89,33243,5.2265625
2020-08-01T04:00:29Z,25,31,66,33243,2.5859375
2020-08-01T04:10:33Z,43,57,103,33243,2.5859375
2020-08-01T04:20:38Z,76,96,153,33243,2.5859375
2020-08-01T04:30:43Z,98,123,180,33243,2.5859375
2020-08-01T04:40:48Z,116,148,201,33243,2.0
2020-08-01T04:50:52Z,120,149,202,33243,1.5
2020-08-01T05:00:57Z,131,156,206,33243,1.0
2020-08-01T05:11:02Z,170,188,225,21881,1.0
2020-08-01T05:21:07Z,182,183,210,11673,1.0
2020-08-01T05:31:12Z,168,166,189,4282,2.0
2020-08-01T05:41:18Z,164,163,197,4055,2.01953125
2020-08-01T05:51:23Z,157,157,188,7061,1.0
2020-08-01T06:01:29Z,169,166,190,2977,1.97265625
2020-08-01T06:11:34Z,190,186,207,7609,1.0
2020-08-01T06:21:38Z,157,149,155,2335,1.0
2020-08-01T06:31:43Z,180,169,184,2845,1.0
2020-08-01T06:41:48Z,173,168,191,5095,1.0
2020-08-01T06:51:52Z,178,171,189,5548,1.0
2020-08-01T07:01:57Z,182,176,197,6323,1.0
2020-08-01T07:12:01Z,168,167,197,7552,1.0
2020-08-01T07:22:06Z,180,183,214,7098,1.0
2020-08-01T07:32:11Z,182,185,217,7760,1.0
2020-08-01T07:42:17Z,160,162,197,2826,1.97265625
2020-08-01T07:52:21Z,192,189,216,4924,1.0
2020-08-01T08:02:27Z,170,162,183,1389,1.98828125
2020-08-01T08:12:31Z,199,191,208,2013,1.0
2020-08-01T08:22:37Z,179,168,185,1049,1.98828125
2020-08-01T08:32:41Z,182,171,185,1824,1.0078125
2020-08-01T08:42:46Z,188,179,192,2013,1.0
2020-08-01T08:52:51Z,178,169,182,766,2.05078125
2020-08-01T09:02:55Z,199,191,203,1408,1.0
2020-08-01T09:13:00Z,190,180,194,1692,1.0
2020-08-01T09:23:06Z,171,161,175,709,2.05078125
2020-08-01T09:33:11Z,175,166,179,690,2.01953125
